time,X_value,Y_value,Z_value
200.327,-5.69562,-9.41086,-170.29495
200.485,-2.97060,-9.45129,-170.21991
200.615,0.24290,-9.08017,-170.35414
200.662,2.83451,-7.60005,-170.43359
200.727,3.37514,-7.00417,-170.39618
200.841,3.86424,-6.10578,-170.27156
200.908,3.98083,-5.83930,-170.04161
200.960,3.25838,-6.09659,-169.09604
201.088,1.12115,-7.13799,-168.26715
201.139,0.97381,-7.65257,-167.60075
201.198,1.03681,-8.55139,-167.23019
201.318,0.44122,-9.70338,-167.37326
201.381,0.58097,-10.09770,-167.63225
236.366,7.37856,-18.06598,-29.65831
236.434,9.53334,-16.81208,-29.79461
236.488,11.98498,-17.11295,-28.57318
236.624,15.99052,-17.17992,-24.75972
236.674,16.77455,-18.38353,-23.04044
236.726,12.89980,-19.58407,-21.61881
236.850,10.41187,-21.26848,-21.32212
236.913,8.82000,-19.87861,-21.09806
236.967,8.31367,-20.13716,-22.12127
237.086,8.10742,-20.19016,-23.32901
237.150,7.23296,-20.23186,-23.78689
237.210,6.15965,-19.96659,-24.33418
237.321,5.13696,-21.80844,-23.06265
237.384,5.56804,-21.23867,-22.28897
237.447,6.82691,-20.32430,-22.06853
237.559,7.27764,-20.20204,-21.56258
237.624,7.04983,-19.80919,-21.62863
237.684,6.98961,-20.46443,-21.55549
237.816,7.96654,-21.10315,-20.25855
237.861,9.21537,-20.02533,-18.99198
237.918,8.68873,-19.35700,-19.22340
238.037,9.62619,-18.90407,-19.41979
238.096,9.93632,-18.87374,-19.01007
238.161,10.10003,-18.76949,-18.36128
238.277,10.42415,-18.76523,-17.86653
238.350,11.20159,-19.19047,-17.54195
238.404,11.92076,-19.22052,-17.54263
238.514,11.93983,-18.91717,-18.42144
238.581,11.75630,-18.81598,-19.77111
238.642,11.88235,-19.02195,-21.48995
238.758,11.70650,-19.73365,-23.04289
238.818,11.05251,-19.95197,-23.77352
238.875,10.11166,-19.99569,-24.52603
238.993,9.82498,-20.04249,-24.75241
239.050,9.61688,-20.02637,-24.56176
239.124,9.25392,-19.89574,-24.13194
239.254,8.57529,-19.19683,-23.44267
239.292,7.25337,-18.43917,-22.69051
239.348,6.35180,-17.54092,-21.79096
239.467,5.77701,-16.70406,-21.12272
239.525,5.80413,-16.18934,-20.44822
239.589,5.95191,-16.05232,-20.15245
239.705,5.73447,-16.40897,-19.70554
239.767,6.01049,-15.82685,-20.72571
239.824,5.09918,-15.71175,-21.93002
1001.092,-3.27360,-22.24057,149.46785
1001.157,-5.80764,-20.91759,151.29845
1001.215,-11.75704,-20.79337,152.77554
1001.335,-13.62036,-21.00231,152.43903
1001.394,-9.31186,-16.03689,154.07375
1001.464,-8.17766,-14.91470,158.45602
1001.591,-4.72562,-8.97872,158.64345
1001.640,1.28241,-6.12509,161.09198
1001.693,9.61813,-6.76317,163.57022
1001.811,9.34667,-4.05635,161.95004
1001.870,2.70932,-6.44357,160.10909
1001.931,0.64765,-7.98343,157.61838
1002.059,7.84188,-10.31311,156.40535
1002.111,8.96975,-13.45306,156.03473
1002.167,2.98901,-10.78139,155.67043
1002.287,-5.81951,-8.95000,155.68976
1002.348,-12.08203,-8.03111,154.37917
1002.406,-13.38901,-8.64683,153.59839
1002.525,-14.18521,-7.87709,154.76254
1002.585,-19.46137,-7.02822,157.17888
1002.655,-23.32306,-4.09076,159.45818
1002.763,-23.81912,3.47345,155.97566
1002.824,-24.62857,2.69826,153.21724
1002.882,-24.57514,4.56974,149.35564
1003.005,-24.45081,2.60504,144.57574
1003.061,-26.99152,0.71843,139.12721
1003.137,-37.58444,-0.80432,133.23175
1600.099,-40.18090,-21.28022,-167.39063
1600.163,-30.01780,-16.00723,-160.58083
1600.222,-17.04248,-18.42206,-158.12134
1600.346,-2.76774,-21.17319,-157.14989
1600.401,3.43570,-24.09185,-158.28493
1600.471,4.16638,-27.69541,-159.33434
1600.585,2.47605,-28.08911,-161.46127
1600.648,0.02592,-28.98362,-165.10570
1600.700,0.15047,-30.64764,-168.14427
1600.820,0.34146,-32.32042,-168.13330
1600.880,0.00465,-32.48154,-166.52858
1600.954,-0.98385,-33.03089,-165.10838
1601.074,0.97023,-35.19384,-163.16312
1601.120,3.07069,-32.16121,-158.93109
1601.181,4.08066,-30.56173,-156.65297
1601.296,5.17812,-30.55661,-155.10533
1601.354,5.70920,-30.60543,-156.69095
1601.421,4.93309,-30.93850,-157.86174
1601.552,4.22154,-31.64363,-158.70473
1601.570,5.63739,-34.09236,-160.19791
1601.652,2.94669,-32.64966,-162.21257
1601.738,1.28830,-32.60228,-165.45410
1601.814,0.86906,-32.37271,-167.33757
1601.890,1.00346,-32.78059,-166.87563
1601.978,0.70905,-30.77329,-164.71130
1602.047,0.73886,-27.93289,-163.09743
1602.127,1.26081,-28.76185,-162.80702
1602.207,2.33898,-27.80550,-159.47939
1602.285,4.05723,-26.60704,-156.09120
1602.376,5.08506,-26.82819,-153.40993
1602.452,5.91088,-27.98078,-151.73125
1602.524,6.51358,-28.38565,-150.69359
1602.603,7.11718,-28.82670,-150.39703
1602.683,7.17549,-29.87178,-150.58725
1602.761,4.88826,-29.93004,-153.08098
1602.845,1.84900,-32.58031,-156.87956
1602.924,0.69044,-33.74542,-158.84775
1603.000,0.14268,-33.83352,-158.36632
1603.078,-0.42448,-32.76694,-157.42047
1603.159,-0.71044,-32.04770,-157.21739
1603.241,-1.07263,-32.07121,-157.37294
1603.323,1.56799,-30.18654,-155.09433
1603.399,3.47889,-29.39441,-153.42162
1603.476,4.11684,-30.00832,-151.78513
1603.562,4.68732,-30.02174,-150.97348
1603.635,4.42787,-29.80042,-151.53673
1603.719,3.25402,-30.68314,-152.18002
1603.800,2.32566,-30.79985,-155.33139
1603.839,0.76341,-31.36880,-160.14662
1603.919,-0.81631,-32.34141,-164.15137
1604.033,-1.71538,-32.81099,-165.01277
1604.112,-2.53864,-33.14878,-166.04041
1604.193,-4.16506,-31.98136,-166.84850
1604.272,-4.16917,-31.53551,-168.88879
1604.350,-3.83658,-31.12119,-168.96321
1604.440,-2.51377,-29.45879,-168.32469
1604.514,-1.29237,-29.35147,-168.50949
1604.591,-0.80689,-30.18395,-168.25612
1604.676,-1.45662,-29.28557,-168.47804
1604.747,-3.94320,-27.57595,-170.50404
1604.827,-6.08491,-27.58677,-172.12169
1604.906,-6.61090,-27.52137,-174.90782
1604.993,-7.19063,-28.77890,179.95770
1605.064,-8.27459,-29.78868,175.32315
1605.149,-8.63601,-28.76941,173.57005
1605.223,-9.00613,-28.64793,171.64845
1605.310,-10.07837,-28.77651,169.21504
1605.382,-10.09534,-31.30475,166.76935
1605.468,-9.25377,-31.32674,166.11177
1605.542,-7.67854,-29.98518,166.15871
1605.622,-7.72745,-29.82372,164.73062
1605.708,-8.40996,-30.03031,163.20621
1605.781,-9.26921,-28.64681,161.36577
1605.859,-11.89802,-25.28525,158.01408
1605.938,-14.85190,-27.36971,155.25194
1606.017,-17.22350,-28.57882,148.84270
1606.099,-19.94553,-29.84615,142.13150
1606.178,-19.75397,-27.58141,137.07193
1606.266,-20.61807,-23.47394,135.86087
1606.349,-22.35050,-14.31288,141.35220
1606.415,-22.88823,-10.47855,143.19199
1606.494,-21.81898,-13.77042,141.67369
1606.573,-22.46894,-14.66669,144.95845
1606.657,-19.63160,-16.45796,148.73952
1606.748,-19.22216,-16.18084,151.85530
1606.810,-23.58297,-14.43787,153.97321
1606.892,-31.04294,-20.23441,147.55138
1606.969,-30.49359,-22.83934,136.65825
1607.050,-30.39576,-23.26668,125.77437
1607.136,-34.53626,-21.36066,119.44305
1607.207,-29.14854,-22.08458,111.32098
1607.285,-25.00264,-20.31325,107.41773
1607.365,-21.75990,-17.99690,106.22897
1607.444,-22.57425,-14.34568,106.67564
1607.525,-20.99146,-11.76406,104.60403
1607.608,-20.95209,-12.55141,103.40811
1607.682,-25.11926,-12.35402,108.06310
1607.761,-28.85998,-13.11142,110.65022
1607.841,-33.90363,-15.80880,110.75657
1607.921,-36.29406,-17.18395,109.74689
1608.006,-37.17362,-17.69334,109.24377
1608.079,-35.50005,-17.51972,108.99661
1608.158,-34.67902,-16.07598,108.01241
1608.242,-35.22413,-15.72503,105.42619
1608.326,-35.04301,-16.90177,101.09913
1608.400,-37.87254,-17.02596,97.70059
1608.474,-39.13352,-17.74818,93.60436
1608.566,-39.22353,-17.39976,90.86792
1608.635,-37.37520,-15.39865,89.38917
1608.716,-35.28248,-10.76012,89.80495
1608.792,-32.41430,-5.39250,91.51705
1608.876,-31.62938,-4.64797,90.64368
1608.960,-31.46344,-6.67952,92.76431
1609.037,-31.16864,-9.58107,94.43663
1609.117,-30.66014,-12.15576,95.32148
1609.192,-30.32965,-13.97978,96.07648
1609.275,-28.12689,-15.32764,97.26391
1609.374,-26.75701,-15.64145,98.26786
1609.435,-26.53881,-14.36539,99.68397
1609.511,-26.56029,-15.35949,99.18356
1609.587,-29.14042,-15.84794,99.04961
1609.666,-29.31164,-17.13204,97.97534
1609.754,-29.85719,-17.77052,96.52813
1609.826,-29.92834,-16.29519,96.76117
1609.905,-31.30147,-13.60772,96.41492
1610.070,-30.65594,-9.82496,96.86037
1610.153,-30.10784,-8.78623,96.71347
1610.224,-29.63268,-9.19627,96.99252
1610.310,-28.29082,-10.17916,99.15361
1610.403,-27.62068,-10.63364,100.34709
1610.463,-27.28098,-10.27729,102.02112
1610.545,-26.46677,-9.86781,103.62669
1610.623,-26.36391,-9.11821,104.85838
1610.700,-25.98152,-6.94571,105.39434
1610.789,-26.26996,-8.16560,103.84814
1610.864,-30.04247,-10.02364,102.18967
1610.944,-29.37439,-12.33665,99.50903
1611.029,-31.36054,-12.61787,97.71265
1611.098,-32.83083,-11.36396,97.08964
1611.190,-33.64636,-8.87560,97.45773
1611.270,-32.82841,-5.33732,99.12093
1611.345,-30.80970,-5.48299,98.95888
1611.418,-31.25785,-7.68844,99.88347
1611.500,-28.63069,-9.65370,102.68766
1611.576,-27.26076,-10.45618,105.16975
1611.655,-26.90403,-10.96388,107.21169
1611.734,-26.55546,-10.46555,109.25793
1611.813,-25.68509,-8.26156,110.82608
1611.891,-25.82599,-8.87622,109.75009
1611.976,-26.17212,-10.73337,107.33632
1612.051,-27.58031,-11.87219,104.52367
1612.129,-28.54217,-12.43423,101.36359
1612.209,-29.79725,-11.24479,100.09211
1612.288,-31.15028,-9.25103,99.79742
1612.369,-30.99388,-5.63173,100.89733
1612.448,-31.38480,-3.63008,101.22999
1612.526,-31.39400,-5.10980,98.98563
1612.627,-29.78734,-6.00423,100.91882
1612.693,-28.45802,-6.63395,102.38163
1612.772,-29.34647,-7.08788,104.57639
1612.844,-28.71391,-7.74328,106.23338
1612.925,-28.25299,-8.71226,108.10075
1613.015,-27.29329,-8.79628,110.10128
1613.104,-27.84806,-11.58016,109.41776
1613.166,-30.21687,-13.12395,109.88219
1613.242,-29.73164,-14.60845,108.96634
1613.322,-30.31357,-13.65273,109.13879
1613.405,-28.79657,-10.88482,110.92848
1613.479,-30.04487,-6.83028,112.30277
1613.563,-30.26766,-3.83116,112.91410
1613.639,-28.78781,-5.67721,112.45641
1613.718,-27.41142,-7.90445,114.46199
1613.798,-24.78122,-9.74339,115.98293
1613.886,-22.46931,-10.03711,118.74844
1613.957,-20.60231,-9.56357,121.32229
1614.042,-20.42029,-7.98538,122.87437
1614.119,-18.91674,-7.12234,122.71917
1614.207,-18.36459,-9.31279,120.46794
1614.280,-21.11493,-10.33569,118.46323
1614.356,-21.52080,-11.69747,114.56882
1614.434,-23.77774,-11.64509,111.63708
1614.523,-24.58482,-10.17386,111.39888
1614.611,-24.69754,-6.84659,113.26817
1614.674,-23.39332,-4.36457,113.11468
1614.750,-22.72719,-6.30859,110.48578
1614.829,-22.22959,-7.90455,113.02930
1614.915,-20.68000,-9.20109,115.42673
1615.005,-20.64908,-9.12148,118.31660
1615.067,-20.02199,-8.57299,120.65411
1615.158,-19.56909,-6.85632,122.27345
1615.231,-19.05702,-4.93219,123.19054
1615.305,-18.89631,-7.97210,121.55574
1615.389,-19.83842,-10.09862,122.73586
1615.465,-19.28925,-11.67580,122.57233
1615.545,-21.90227,-12.56558,119.92569
1615.622,-23.22799,-13.55111,120.19964
1615.708,-18.72418,-13.72396,123.10121
1615.788,-19.09471,-9.15085,127.44618
1615.862,-18.14376,-6.65241,128.23503
1615.945,-20.20720,-8.33600,129.04831
1616.038,-18.34926,-6.78976,136.78407
1616.100,-17.74737,-5.31891,140.44971
1616.178,-17.62308,-3.50046,143.62190
1616.264,-18.37032,-1.94205,145.65251
1616.340,-19.71329,2.05735,147.91324
1616.433,-16.36864,7.75432,148.20535
1616.496,-13.33925,9.18243,147.42528
1616.576,-12.18769,4.71258,145.42186
1616.664,-17.96292,-1.99600,142.99426
1616.735,-17.68957,-15.47590,136.29881
1616.825,-17.70023,-16.48556,137.44484
1616.903,-15.75042,-3.69797,142.92052
1616.973,-21.18606,-4.16575,139.97369
1617.053,-20.76048,-6.46831,142.15685
1617.134,-20.60295,-3.81427,150.96645
1617.214,-14.27118,-5.35286,152.84122
1617.290,-15.75710,-3.38154,153.76782
1617.375,-19.97210,0.53056,157.79782
1617.449,-30.18805,-1.97463,159.04820
1617.528,-34.18519,-5.99416,157.50531
1617.615,-37.52428,-7.94029,156.75169
1617.685,-35.05022,-5.76400,157.68950
1617.769,-31.83020,-6.53157,154.34752
1617.845,-32.12404,-7.83263,147.71251
1617.928,-33.88929,-9.53973,142.26550
1618.009,-36.45179,-10.88577,137.74573
1618.083,-35.65599,-8.93513,135.11050
1618.160,-34.01137,-4.30103,133.97923
1618.240,-35.58418,-6.45387,129.96870
1618.319,-35.63069,-9.92931,130.45746
1618.400,-33.67008,-13.82479,132.58521
1618.479,-32.91010,-15.25907,133.28424
1618.563,-34.42959,-15.01819,133.80782
1618.675,-33.74824,-15.67548,135.46989
1618.719,-29.73980,-16.20633,136.80341
1618.797,-27.81266,-15.38378,138.31271
1618.876,-27.07083,-19.63679,137.43890
1618.957,-29.03778,-22.37430,135.09621
1619.035,-27.30166,-22.82833,133.20804
1619.115,-27.03291,-22.52736,132.11630
1619.193,-28.90828,-21.94384,132.52676
1619.272,-29.39963,-20.73834,132.66002
1619.351,-30.33107,-18.79442,131.72412
1619.432,-30.65982,-17.71140,131.62372
1619.510,-29.22782,-19.30987,130.69112
1619.592,-29.03541,-18.32906,132.57074
1619.669,-32.02030,-19.23431,133.98315
1619.749,-34.45732,-19.65520,135.48703
1619.831,-33.18480,-17.22889,136.01747
1619.909,-33.72249,-14.62386,135.10107
1619.990,-33.88620,-11.82663,133.69980
1620.071,-30.16742,-4.07410,132.12781
1620.147,-27.15544,-0.52869,132.20108
1620.226,-28.45700,-3.98263,126.91850
1620.307,-30.14830,-6.92987,122.32259
1620.473,-30.87577,-9.97642,118.96444
1620.549,-33.61803,-12.90858,115.20087
1620.625,-36.09873,-14.63386,112.22937
1620.705,-36.81038,-14.54525,110.11357
1620.783,-37.21749,-13.07029,107.17440
1620.868,-38.95577,-11.07133,102.40060
1620.950,-40.39344,-9.00805,97.03146
1621.021,-41.18719,-7.39704,91.67883
1621.117,-42.53291,-6.77202,85.98123
1621.187,-43.27892,-6.63370,79.58546
1621.260,-45.50781,-8.89213,71.88369
1621.344,-47.71062,-13.37737,63.95263
1621.418,-48.21941,-19.87376,56.70861
1621.504,-48.35209,-25.06564,52.41985
1621.579,-47.15633,-23.22763,51.25430
1621.657,-49.05956,-23.83671,55.65494
