time,X_value,Y_value,Z_value
281.810,-5.96969,-15.35183,134.59830
281.896,-8.42379,-15.37656,134.35367
281.969,-7.58303,-13.96353,134.54111
282.051,-6.33995,-12.31896,135.71991
282.128,-6.67118,-11.45585,140.83031
282.209,-7.43001,-8.50914,148.15907
282.287,-8.11549,-8.84680,148.12181
282.367,-6.43966,-9.68846,146.82816
282.450,-1.42639,-9.70323,148.71948
282.525,0.67221,-4.91324,149.04970
282.606,-0.55330,-4.60630,145.80890
282.685,-1.72701,-4.05410,143.47011
282.764,-4.01107,-2.65372,143.21925
282.846,-5.88424,-2.09699,143.26215
282.924,-7.05498,4.91490,144.75227
283.004,-8.24806,3.86864,146.30475
283.084,-7.91413,-1.18695,145.63547
283.169,-7.92844,-10.66645,141.10017
283.239,-2.28408,-8.58531,141.78152
283.321,0.13767,-6.66412,143.53896
283.398,-3.85380,-5.49945,145.82799
283.481,-2.82131,-2.60034,150.92827
283.557,-5.14379,-1.12807,155.41173
283.640,-12.36464,-2.17340,154.12363
283.717,-17.85026,-3.12606,147.83636
283.798,-15.78403,0.92537,144.47745
283.880,-9.05583,-0.54815,141.96667
283.954,-5.18492,-0.61575,141.53197
287.026,-0.27289,-15.39608,103.20564
287.109,-0.30300,-16.67549,101.68031
287.186,-0.25101,-17.34202,99.89877
287.271,-1.76509,-18.46089,98.28829
287.344,-1.73150,-18.13185,97.62977
287.427,-1.90913,-18.77383,96.61292
287.508,-2.22054,-18.46972,97.23901
287.587,-2.10336,-17.39156,98.00912
287.664,-1.47796,-18.01212,98.83357
287.755,-0.46660,-18.26149,99.63654
287.822,-0.36730,-18.24546,100.20588
287.913,0.03428,-17.68003,99.58160
287.984,-0.62686,-20.44814,98.45766
288.061,-2.07404,-20.07379,97.47279
288.139,-1.94247,-21.06406,95.36815
288.233,-1.89060,-22.77720,96.64473
288.301,-2.41044,-24.58046,99.26948
288.394,-2.72334,-23.39285,98.59103
288.457,-2.88665,-22.10028,99.28116
288.542,-3.11058,-22.54645,100.01894
288.624,-2.03101,-22.71076,102.70822
288.707,-2.51553,-22.01441,103.95368
288.804,-1.68086,-22.57777,105.91002
288.875,0.38594,-20.72276,108.37504
288.935,0.07898,-19.47649,108.64576
289.016,-2.41416,-18.84487,108.31844
289.098,-2.02295,-20.62635,106.00894
289.186,-2.94721,-18.88360,104.51023
