time,X_value,Y_value,Z_value
237.384,-0.79275,3.60076,9.08716
237.447,-0.99916,3.45509,9.12329
237.559,-1.07226,3.43626,9.12210
237.624,-1.03879,3.37311,9.14950
237.684,-1.02447,3.47830,9.11166
237.815,-1.17533,3.58222,9.05299
237.861,-1.38405,3.41172,9.08928
237.917,-1.30618,3.30378,9.14053
238.037,-1.45977,3.23042,9.14351
238.095,-1.51076,3.22652,9.13661
238.161,-1.53851,3.21062,9.13758
238.275,-1.59069,3.21064,9.12863
238.350,-1.71003,3.27979,9.08236
238.404,-1.82355,3.28461,9.05850
238.514,-1.82934,3.23438,9.07539
238.581,-1.80022,3.21602,9.08773
238.642,-1.81638,3.24672,9.07359
238.758,-1.77938,3.35882,9.04005
238.818,-1.67540,3.39157,9.04769
238.875,-1.52787,3.39634,9.07198
238.993,-1.48289,3.40400,9.07657
239.049,-1.45181,3.40246,9.08218
239.124,-1.39824,3.38275,9.09793
239.227,-1.29884,3.26993,9.15374
239.292,-1.09352,3.14818,9.22299
239.348,-0.95433,3.00335,9.28652
239.466,-0.86606,2.86754,9.33796
239.525,-0.87374,2.78406,9.36248
239.589,-0.89923,2.76202,9.36659
239.704,-0.86236,2.82106,9.35245
239.767,-0.90945,2.72415,9.37669
239.823,-0.75998,2.70366,9.39591
1001.091,0.61311,3.69731,9.06225
1001.157,1.02191,3.48945,9.10768
1001.214,1.96205,3.47187,8.95918
1001.335,2.24932,3.50477,8.87849
1001.392,1.61961,2.70153,9.28703
1001.464,1.44278,2.52347,9.36594
1001.591,0.89352,1.53027,9.64522
1001.640,-0.12244,1.05023,9.74948
1001.693,-1.53268,1.16285,9.61608
1001.809,-1.49410,0.69902,9.66692
1001.868,-0.36493,1.10277,9.73761
1001.931,-0.01400,1.36010,9.71187
1002.059,-1.22161,1.75174,9.57128
1002.108,-1.39261,2.27700,9.43643
1002.167,-0.40684,1.82932,9.62593
1002.286,1.07744,1.52052,9.62796
1002.345,2.12603,1.36279,9.47593
1002.405,2.33803,1.46577,9.41039
1002.525,2.47327,1.33729,9.39494
1002.583,3.33298,1.19722,9.14485
1002.655,3.96045,0.70067,8.94395
1002.762,4.04037,-0.59880,8.91556
1002.824,4.16852,-0.47093,8.86409
1002.882,4.15070,-0.79695,8.84912
1003.005,4.13875,-0.46922,8.87812
1003.061,4.53042,-0.15523,8.69606
1003.137,6.04928,0.09626,7.71799
1600.098,6.01122,3.36064,6.98153
1600.162,4.83958,2.51126,8.15122
1600.221,2.85997,2.91319,8.91652
1600.346,0.56910,3.36119,9.19505
1600.401,-0.42075,3.82368,9.02069
1600.471,-0.52070,4.38186,8.75777
1600.585,-0.26828,4.43834,8.74068
1600.648,0.09267,4.56859,8.67697
