time,X_value,Y_value,Z_value
201.197,-1.30153,-1.23305,0.66465
201.317,-0.97054,-1.07336,0.06632
201.381,-0.76249,-0.98369,0.41596
236.365,-0.67606,-0.32741,0.67638
236.434,0.06331,-0.62894,2.83826
236.487,1.28626,-0.30477,0.61543
236.624,-0.18615,-0.91969,0.50644
236.665,0.44644,-0.97630,0.51294
236.725,0.43647,-1.63954,1.48621
236.850,1.10211,-0.70188,-0.80775
236.912,-0.34521,-0.86572,1.22296
236.967,0.79493,-0.83741,0.62891
237.086,1.46846,-0.54908,2.01661
237.150,0.68449,-0.82228,1.96249
237.210,1.54553,-0.60061,0.81523
237.321,0.86102,-0.72218,-1.48091
237.384,0.67504,-0.58466,0.75736
237.447,0.81404,-0.19190,0.34571
237.559,0.45347,-0.63253,-0.38126
237.624,0.67245,-0.50422,1.08964
237.684,0.33828,-0.36096,0.98118
237.816,0.39289,-0.57173,-0.20009
237.861,-0.43361,-0.43294,0.05997
237.917,0.23404,-1.01849,0.14174
238.037,0.75240,-0.59511,0.72199
238.095,0.89255,-0.76922,0.64586
238.161,0.69279,-0.52560,0.72391
238.275,0.43592,-0.47771,0.41798
238.350,0.05508,-0.57642,-0.45350
238.404,-0.28807,-0.64357,-0.05822
238.514,0.10846,-0.27946,0.67477
238.581,0.18141,-0.44593,1.16540
238.642,0.58008,-0.60971,1.11475
238.758,1.62087,-0.47145,-0.03336
238.818,1.03105,-0.87023,0.48413
238.875,1.27366,-0.80580,0.46289
238.993,0.91481,-0.66276,0.63820
239.049,0.87813,-0.74648,0.57768
239.124,1.14894,-0.72715,0.02880
239.239,1.12957,-0.82898,0.44587
239.292,1.21486,-0.62083,0.68408
239.348,0.39824,-0.59279,0.57807
239.466,0.54878,-0.36713,0.17303
239.525,0.71576,-0.58941,0.44334
239.589,0.97528,-0.44299,0.49503
239.704,-0.65472,-0.24703,-0.21361
239.767,-0.13243,-0.52001,1.21062
239.824,0.83944,-0.33519,-0.01332
1001.091,-2.69254,2.56938,3.34547
1001.157,-0.49948,-0.63468,3.38442
1001.214,-2.00064,0.21550,-0.51454
1001.335,-2.72514,0.32352,-6.34000
1001.392,1.73317,0.26480,2.18420
1001.464,-0.37737,0.53163,-1.16775
1001.591,0.31124,0.03092,2.67814
1001.640,-2.40674,1.59120,5.70974
1001.693,-4.51905,1.04508,3.10811
1001.810,-2.50672,0.60989,3.06010
1001.868,-2.08467,-1.12832,-0.72418
1001.931,-0.20561,-0.54850,-2.58357
1002.059,-0.91167,0.26605,-2.40381
1002.108,-1.94966,0.82395,-6.51772
1002.167,-1.97531,0.18207,4.98266
1002.286,1.69194,-0.47632,5.65191
1002.345,1.60772,0.46259,1.49328
1002.405,0.31165,0.31117,-1.60025
1002.525,-2.22634,0.31149,-4.27821
1002.583,-1.78370,0.54740,-1.70891
1002.655,-6.71503,3.42893,-4.34660
1002.762,-1.75653,-0.60740,2.81320
1002.824,-1.61519,-1.02160,4.47757
