time,X_value,Y_value,Z_value
297.935,1.53695,-1.20871,-0.89970
298.011,1.61427,-0.23311,0.67811
298.092,0.67753,0.33155,2.38551
298.167,-0.31595,-0.90295,4.41175
298.253,-0.10442,-2.13187,-0.05112
298.329,0.95105,-2.03504,-0.07895
298.408,1.40649,-1.62094,-0.92353
298.490,0.78989,-1.26053,-0.36887
298.568,2.36506,0.20782,1.14251
298.647,-1.80359,-0.75119,-0.45307
298.734,2.49383,-1.86297,9.35763
298.805,3.06030,-3.44095,1.64595
298.885,0.56702,-2.27039,-1.48710
298.963,1.65880,-2.06080,-2.41227
299.055,0.73077,-1.24093,-0.17206
299.120,1.15766,-0.57718,-0.04666
299.205,1.35192,0.11775,0.00802
299.285,1.08892,-0.52429,6.23354
299.372,-0.33990,-2.38129,-0.23309
299.440,-0.73886,-1.97832,3.75079
299.519,1.09297,-2.91888,-3.41851
299.601,0.58192,-2.22414,-1.51624
299.679,2.92403,-0.73025,-1.11925
299.755,-0.61587,-1.43590,0.51280
299.836,-0.82044,-2.85343,5.97564
299.913,3.91152,-4.16996,2.10474
300.004,-0.65083,-1.66900,0.99343
300.072,5.01812,-1.62226,0.42606
300.158,0.52579,-1.54356,-1.46898
300.231,-1.02796,-0.88838,-0.79876
300.321,-3.91172,-2.19643,-0.55222
300.394,-1.35390,-1.92147,3.50091
300.474,0.09397,-2.36476,0.56371
300.553,0.80812,-4.90801,-4.09132
300.642,2.23915,-1.74560,-2.17436
300.714,-0.23200,1.78790,5.06230
300.791,-1.44726,3.00891,0.92977
300.873,-0.64672,-1.72638,1.28364
300.952,3.12366,-3.03975,-4.16286
301.027,1.44979,-3.66930,1.46862
301.113,0.65780,-4.18254,-3.46702
301.192,4.17669,3.82231,-3.10788
301.278,1.14667,2.15779,2.69473
301.346,-0.78201,-1.51105,6.33625
301.429,0.91450,-3.98548,-3.98325
301.504,-1.74012,-1.91483,-0.84820
301.581,-0.47561,-2.10312,-0.76921
301.661,2.06995,1.81557,-3.11704
301.741,3.88740,0.49085,-1.76317
301.820,2.73424,-0.63817,1.57702
301.900,0.49124,-2.62101,7.19690
301.979,-4.08115,-3.41366,-2.87511
302.059,1.89030,-9.52559,-8.73342
302.142,1.29667,-1.33913,0.33753
302.219,1.57400,1.36908,-4.37007
302.298,7.17676,2.10390,1.00894
302.378,1.38623,-0.72305,3.86732
302.459,-2.18598,-7.75623,0.26951
302.545,-1.74270,-1.65496,-3.27008
302.614,1.59867,-4.89123,-3.79852
302.695,2.26941,2.19806,-0.75775
302.772,3.47746,1.69400,2.87356
302.855,4.35173,1.60451,-0.99610
302.935,-8.09958,-2.01514,2.55619
303.018,-9.72685,-0.76535,-8.55591
303.090,6.54601,-5.07164,-0.38816
303.173,2.13729,-2.12222,0.80667
303.249,4.21038,0.73202,-0.73980
303.336,4.76918,0.26701,-5.04825
303.407,-0.16638,-3.49574,2.64075
303.488,-7.45314,-2.49346,6.84662
303.566,2.59472,-1.56253,-0.08845
303.647,-5.19992,-2.81093,-1.28099
303.725,-5.65534,-6.09958,-5.85189
303.809,2.80306,0.42791,-1.12599
303.889,2.81647,0.99525,3.16407
304.043,-1.85325,-0.60397,1.75967
304.125,-2.52281,-2.65606,4.26466
304.208,-1.91743,-2.29909,-3.43832
304.286,-0.91569,-6.57855,-2.23663
304.370,4.08091,0.56245,-0.43918
304.445,1.60526,-0.43054,-5.65393
304.523,1.60732,-1.05306,1.81097
304.603,-2.13439,-1.60092,5.59941
304.686,-3.60234,-5.45032,-8.60546
304.760,-5.54039,-2.55433,-3.90949
304.837,-1.57370,-1.73769,1.27220
304.925,3.37405,-1.07910,-1.60337
304.995,3.48173,0.82942,-1.68209
305.085,-0.56552,0.73725,1.02173
305.160,-4.43379,0.05955,2.09935
305.241,-0.96028,-1.86967,-0.82246
305.313,-3.85955,-4.50138,-3.25072
305.401,4.38892,-1.81629,4.74842
305.479,0.88851,0.33894,-6.64577
305.560,2.07215,-1.05888,-2.28380
305.638,-1.72202,-2.18988,4.40707
305.715,-0.92242,0.31421,5.40498
305.797,-1.81956,-2.80739,-0.79928
305.877,-6.39022,-3.20045,-5.93752
305.949,1.61207,-0.93225,-2.94521
306.033,3.50904,-0.53024,0.28921
306.108,3.50632,-1.02214,1.09081
306.198,-2.94151,-0.27284,0.10876
306.267,-2.38999,-0.79177,3.01623
306.354,-2.36728,-5.87171,-2.62928
306.428,0.54273,-3.99164,2.28946
306.512,0.70298,0.14386,-5.52586
306.584,3.12605,-0.28070,-2.96365
306.675,2.30518,-1.31039,1.84511
306.742,-2.75564,1.24760,13.51216
306.830,-3.13101,-4.08539,-3.26515
306.902,-5.19353,-1.67723,-6.20481
306.984,1.12175,-1.07465,-2.19433
307.064,2.57248,-0.32326,-1.33110
307.144,3.16056,0.96083,1.61226
307.218,-0.90790,-0.46497,-0.95728
307.306,-2.89326,-1.80610,3.60744
307.377,-2.16042,-2.38044,-4.42987
307.462,-0.60225,-4.64251,0.19720
