Timestamp, Data Source, Data, Display Value, Raw Value
"2017-03-12T17:06:01Z", Device, Supports Touch ID, No, false
"2017-03-12T17:06:01Z", WiFi, Connected SSID, TC8717TD8-5G, TC8717TD8-5G
"2017-03-12T17:06:01Z", WiFi, Connected BSSID, 80:29:94:ff:e3:df, 80:29:94:ff:e3:df
"2017-03-12T17:06:01Z", Compass, Heading (True North), 210.7990570068359º, 210.799057006836
"2017-03-12T17:06:01Z", Compass, Heading (Magnetic North), 223.7321319580078º, 223.732131958008
"2017-03-12T17:06:01Z", Compass, x, 25.26286315917969, 25.2628631591797
"2017-03-12T17:06:01Z", Compass, y, -32.85894775390625, -32.8589477539062
"2017-03-12T17:06:01Z", Compass, z, -23.52838134765625, -23.5283813476562
"2017-03-12T17:06:01Z", Magnetometer (raw), x, 110.3794860839844, 110.379486083984
"2017-03-12T17:06:01Z", Magnetometer (raw), y, 329.8386840820312, 329.838684082031
"2017-03-12T17:06:01Z", Magnetometer (raw), z, -500.9266357421875, -500.926635742188
"2017-03-12T17:06:01Z", Accelerometer (raw), x, 0.1638641357421875, 0.163864135742188
"2017-03-12T17:06:01Z", Accelerometer (raw), y, -0.3878326416015625, -0.387832641601562
"2017-03-12T17:06:01Z", Accelerometer (raw), z, -0.9091949462890625, -0.909194946289062
"2017-03-12T17:06:01Z", Gyrometer (raw), x, 0.03849865671818547, 0.0384986567181855
"2017-03-12T17:06:01Z", Gyrometer (raw), y, -0.02981994735783525, -0.0298199473578352
"2017-03-12T17:06:01Z", Gyrometer (raw), z, 0.00442404320283963, 0.00442404320283963
"2017-03-12T17:06:01Z", Altimeter (Barometer), Relative Altitude, 0 Meters, 0
"2017-03-12T17:06:01Z", Altimeter (Barometer), Pressure, 102.345008850098 kPa, 102.3450088500977
"2017-03-12T17:06:02Z", Magnetometer (corrected for device), x, 32.00796508789062, 32.0079650878906
"2017-03-12T17:06:02Z", Magnetometer (corrected for device), y, -32.80755615234375, -32.8075561523438
"2017-03-12T17:06:02Z", Magnetometer (corrected for device), z, -13.12454223632812, -13.1245422363281
"2017-03-12T17:06:02Z", Magnetometer (corrected for device), Estimated Accuracy, High, High
"2017-03-12T17:06:02Z", Attitude, Roll, 0.468930152649682, 0.468930152649682
"2017-03-12T17:06:02Z", Attitude, Yaw, -0.1956648096112416, -0.195664809611242
"2017-03-12T17:06:02Z", Attitude, Pitch, 0.5005948286349176, 0.500594828634918
"2017-03-12T17:06:02Z", Attitude, Quarternion w, 0.9434448937499686, 0.943444893749969
"2017-03-12T17:06:02Z", Attitude, Quarternion x, 0.2617482793132568, 0.261748279313257
"2017-03-12T17:06:02Z", Attitude, Quarternion y, 0.2004752687693943, 0.200475268769394
"2017-03-12T17:06:02Z", Attitude, Quarternion z, -0.03477409014625472, -0.0347740901462547
"2017-03-12T17:06:02Z", Acceleration (via Gravity), x, 0.3964788615703583, 0.396478861570358
"2017-03-12T17:06:02Z", Acceleration (via Gravity), y, -0.4799474775791168, -0.479947477579117
"2017-03-12T17:06:02Z", Acceleration (via Gravity), z, -0.7825950384140015, -0.782595038414001
"2017-03-12T17:06:02Z", Acceleration (via User), x, 0.05058840662240982, 0.0505884066224098
"2017-03-12T17:06:02Z", Acceleration (via User), y, 0.002042191568762064, 0.00204219156876206
"2017-03-12T17:06:02Z", Acceleration (via User), z, 0.07234415411949158, 0.0723441541194916
"2017-03-12T17:06:02Z", Acceleration (total), x, 0.4470672681927681, 0.447067268192768
"2017-03-12T17:06:02Z", Acceleration (total), y, -0.4779052860103548, -0.477905286010355
"2017-03-12T17:06:02Z", Acceleration (total), z, -0.7102508842945099, -0.71025088429451
"2017-03-12T17:06:02Z", Gyrometer (smooth), x, -0.215298667550087, -0.215298667550087
"2017-03-12T17:06:02Z", Gyrometer (smooth), y, 0.3583183288574219, 0.358318328857422
"2017-03-12T17:06:02Z", Gyrometer (smooth), z, -0.04313445463776588, -0.0431344546377659
"2017-03-12T17:06:02Z", Magnetometer (raw), x, 116.9047393798828, 116.904739379883
"2017-03-12T17:06:02Z", Magnetometer (raw), y, 330.5658264160156, 330.565826416016
"2017-03-12T17:06:02Z", Magnetometer (raw), z, -492.7008972167969, -492.700897216797
"2017-03-12T17:06:02Z", Accelerometer (raw), x, 0.3258819580078125, 0.325881958007812
"2017-03-12T17:06:02Z", Accelerometer (raw), y, -0.45281982421875, -0.45281982421875
"2017-03-12T17:06:02Z", Accelerometer (raw), z, -0.856536865234375, -0.856536865234375
"2017-03-12T17:06:02Z", Device, Model, iPhone, iPhone
"2017-03-12T17:06:02Z", Device, Name, Kyle Gallatin’s iPhone, Kyle Gallatin’s iPhone
"2017-03-12T17:06:02Z", Device, OS Name, iOS, iOS
"2017-03-12T17:06:02Z", Device, iOS Version, 10.2.1, 10.2.1
"2017-03-12T17:06:02Z", Device, Audio Output Method, Speaker, Speaker
